algorithm,horizon,seed,fold,symbol,status,reason,observations,netReturn,sharpe,maxDrawdown,expectedShortfall95,oodObservationRate,latencyP99Ms
double_dqn,1,47,0,LINKUSDT,failed,drawdown_limit,174,-0.08398148262312766,-2.7214081949532067,0.15397514215865116,0.015015389299227213,0.0,0.0476436000000001
double_dqn,1,47,0,LTCUSDT,failed,drawdown_limit,181,-0.10433247950879332,-3.468643141823116,0.1518611727948994,0.015836640065093312,0.0,0.046914
double_dqn,1,47,0,SOLUSDT,failed,drawdown_limit,180,-0.10476236810464368,-2.756446468056058,0.16998865210417646,0.01984849788678474,0.0,0.040513770000000025
double_dqn,1,47,0,XRPUSDT,failed,drawdown_limit,180,-0.13202648012285456,-4.779399352711543,0.15226029760268323,0.015679502670629192,0.0,0.05485584000000005
cql,1,11,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,0.06689331999999992
cql,1,11,0,AVAXUSDT,failed,drawdown_limit,173,-0.07230562528548168,-1.8720119950443572,0.15234816725488876,0.015948858911291868,0.0,0.04815548000000001
cql,1,11,0,BNBUSDT,failed,drawdown_limit,284,-0.11700891394152335,-2.3220962094215007,0.16095276322640106,0.015167672378213792,0.0,0.04612881000000015
cql,1,11,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.055091839999999885
cql,1,11,0,DOGEUSDT,failed,drawdown_limit,181,-0.05920716913143098,-1.2480856679506398,0.15169342200477498,0.018956545572489235,0.0,0.06278279999999999
cql,1,11,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.13708156000000002
cql,1,11,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.08064468000000032
cql,1,11,0,LTCUSDT,failed,drawdown_limit,181,-0.1033925316680222,-3.434008889341922,0.15186117279489875,0.015836640065093322,0.0,0.08456679999999993
cql,1,11,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.10156881000000013
cql,1,11,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.10103640000000032
cql,1,23,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,0.07724561999999992
cql,1,23,0,AVAXUSDT,failed,drawdown_limit,226,-0.0800968841480394,-1.4186480396296604,0.16199381078171637,0.019756297421266,0.0,0.05618375
cql,1,23,0,BNBUSDT,complete,,599,-0.04198464154298276,-0.32527332733157666,0.14158669037097937,0.013672313208974636,0.0,0.07080934
cql,1,23,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.10291773999999952
cql,1,23,0,DOGEUSDT,failed,drawdown_limit,279,-0.06113011705574556,-0.8702721900375252,0.15342733123517627,0.017821503099665268,0.0,0.07006083999999972
cql,1,23,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.08733402000000001
cql,1,23,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.08642330000000005
cql,1,23,0,LTCUSDT,complete,,599,-0.01931309394239844,-0.052560252133811096,0.12463722583910275,0.01602779305708656,0.0,0.07361909999999998
