id,kind,status,reasonCode,observations
double_dqn/h1/f0/s11/base/ADAUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/base/AVAXUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/base/BNBUSDT,replay,failed,5,94
double_dqn/h1/f0/s11/base/BTCUSDT,replay,failed,5,185
double_dqn/h1/f0/s11/base/DOGEUSDT,replay,failed,5,114
double_dqn/h1/f0/s11/base/ETHUSDT,replay,failed,5,186
double_dqn/h1/f0/s11/base/LINKUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/base/LTCUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/base/SOLUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/base/XRPUSDT,replay,failed,5,152
double_dqn/h1/f0/s11/cost1_5x/ADAUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/cost1_5x/AVAXUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/cost1_5x/BNBUSDT,replay,failed,5,94
double_dqn/h1/f0/s11/cost1_5x/BTCUSDT,replay,failed,5,185
double_dqn/h1/f0/s11/cost1_5x/DOGEUSDT,replay,failed,5,114
double_dqn/h1/f0/s11/cost1_5x/ETHUSDT,replay,failed,5,186
double_dqn/h1/f0/s11/cost1_5x/LINKUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/cost1_5x/LTCUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/cost1_5x/SOLUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/cost1_5x/XRPUSDT,replay,failed,5,152
double_dqn/h1/f0/s11/cost2x/ADAUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/cost2x/AVAXUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/cost2x/BNBUSDT,replay,failed,5,94
double_dqn/h1/f0/s11/cost2x/BTCUSDT,replay,failed,5,185
double_dqn/h1/f0/s11/cost2x/DOGEUSDT,replay,failed,5,114
double_dqn/h1/f0/s11/cost2x/ETHUSDT,replay,failed,5,186
double_dqn/h1/f0/s11/cost2x/LINKUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/cost2x/LTCUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/cost2x/SOLUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/cost2x/XRPUSDT,replay,failed,5,152
double_dqn/h1/f0/s11/extreme25bp/ADAUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/extreme25bp/AVAXUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/extreme25bp/BNBUSDT,replay,failed,5,94
double_dqn/h1/f0/s11/extreme25bp/BTCUSDT,replay,failed,5,185
double_dqn/h1/f0/s11/extreme25bp/DOGEUSDT,replay,failed,5,114
double_dqn/h1/f0/s11/extreme25bp/ETHUSDT,replay,failed,5,186
double_dqn/h1/f0/s11/extreme25bp/LINKUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/extreme25bp/LTCUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/extreme25bp/SOLUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/extreme25bp/XRPUSDT,replay,failed,5,152
double_dqn/h1/f0/s11/delay1bar/ADAUSDT,replay,failed,5,238
double_dqn/h1/f0/s11/delay1bar/AVAXUSDT,replay,failed,5,232
double_dqn/h1/f0/s11/delay1bar/BNBUSDT,replay,failed,5,96
double_dqn/h1/f0/s11/delay1bar/BTCUSDT,replay,complete,0,599
double_dqn/h1/f0/s11/delay1bar/DOGEUSDT,replay,failed,5,320
double_dqn/h1/f0/s11/delay1bar/ETHUSDT,replay,failed,2,384
double_dqn/h1/f0/s11/delay1bar/LINKUSDT,replay,failed,5,220
double_dqn/h1/f0/s11/delay1bar/LTCUSDT,replay,failed,5,96
double_dqn/h1/f0/s11/delay1bar/SOLUSDT,replay,failed,5,56
double_dqn/h1/f0/s11/delay1bar/XRPUSDT,replay,failed,5,96
double_dqn/h1/f0/s11/partial50pct/ADAUSDT,replay,failed,4,518
double_dqn/h1/f0/s11/partial50pct/AVAXUSDT,replay,failed,2,383
double_dqn/h1/f0/s11/partial50pct/BNBUSDT,replay,complete,0,599
double_dqn/h1/f0/s11/partial50pct/BTCUSDT,replay,complete,0,599
double_dqn/h1/f0/s11/partial50pct/DOGEUSDT,replay,complete,0,599
double_dqn/h1/f0/s11/partial50pct/ETHUSDT,replay,failed,2,390
double_dqn/h1/f0/s11/partial50pct/LINKUSDT,replay,failed,2,596
double_dqn/h1/f0/s11/partial50pct/LTCUSDT,replay,complete,0,599
double_dqn/h1/f0/s11/partial50pct/SOLUSDT,replay,failed,2,387
double_dqn/h1/f0/s11/partial50pct/XRPUSDT,replay,failed,2,583
double_dqn/h1/f0/s11/missed10pct/ADAUSDT,replay,failed,5,237
double_dqn/h1/f0/s11/missed10pct/AVAXUSDT,replay,failed,5,81
double_dqn/h1/f0/s11/missed10pct/BNBUSDT,replay,failed,5,94
double_dqn/h1/f0/s11/missed10pct/BTCUSDT,replay,failed,5,185
double_dqn/h1/f0/s11/missed10pct/DOGEUSDT,replay,failed,5,114
double_dqn/h1/f0/s11/missed10pct/ETHUSDT,replay,failed,5,186
double_dqn/h1/f0/s11/missed10pct/LINKUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/missed10pct/LTCUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/missed10pct/SOLUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/missed10pct/XRPUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/impact10bp/ADAUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/impact10bp/AVAXUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/impact10bp/BNBUSDT,replay,failed,5,94
double_dqn/h1/f0/s11/impact10bp/BTCUSDT,replay,failed,5,185
double_dqn/h1/f0/s11/impact10bp/DOGEUSDT,replay,failed,5,114
double_dqn/h1/f0/s11/impact10bp/ETHUSDT,replay,failed,5,186
double_dqn/h1/f0/s11/impact10bp/LINKUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/impact10bp/LTCUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/impact10bp/SOLUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/impact10bp/XRPUSDT,replay,failed,5,152
double_dqn/h1/f0/s11/funding2x/ADAUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/funding2x/AVAXUSDT,replay,failed,5,80
double_dqn/h1/f0/s11/funding2x/BNBUSDT,replay,failed,5,94
double_dqn/h1/f0/s11/funding2x/BTCUSDT,replay,failed,5,185
double_dqn/h1/f0/s11/funding2x/DOGEUSDT,replay,failed,5,114
double_dqn/h1/f0/s11/funding2x/ETHUSDT,replay,failed,5,186
double_dqn/h1/f0/s11/funding2x/LINKUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/funding2x/LTCUSDT,replay,failed,5,95
double_dqn/h1/f0/s11/funding2x/SOLUSDT,replay,failed,5,161
double_dqn/h1/f0/s11/funding2x/XRPUSDT,replay,failed,5,152
double_dqn/h1/f0/s23,training,complete,0,
double_dqn/h1/f0/s23/base/ADAUSDT,replay,failed,5,246
double_dqn/h1/f0/s23/base/AVAXUSDT,replay,failed,5,183
double_dqn/h1/f0/s23/base/BNBUSDT,replay,failed,2,279
double_dqn/h1/f0/s23/base/BTCUSDT,replay,failed,2,279
double_dqn/h1/f0/s23/base/DOGEUSDT,replay,failed,5,158
double_dqn/h1/f0/s23/base/ETHUSDT,replay,failed,2,273
double_dqn/h1/f0/s23/base/LINKUSDT,replay,complete,0,599
double_dqn/h1/f0/s23/base/LTCUSDT,replay,failed,2,275
double_dqn/h1/f0/s23/base/SOLUSDT,replay,complete,0,599
double_dqn/h1/f0/s23/base/XRPUSDT,replay,failed,2,181
double_dqn/h1/f0/s23/cost1_5x/ADAUSDT,replay,failed,5,246
