open,high,low,close,volume
87121.31000000,87226.00000000,87046.09000000,87046.09000000,56.02787000
87046.09000000,87171.99000000,87046.09000000,87170.80000000,34.32211000
87170.80000000,87510.00000000,87157.08000000,87466.82000000,134.28648000
87466.82000000,87472.87000000,87229.25000000,87317.38000000,50.59463000
87317.38000000,87558.97000000,87317.38000000,87512.76000000,60.49950000
87512.76000000,87625.01000000,87464.76000000,87493.44000000,100.84229000
87493.44000000,87964.28000000,87470.00000000,87933.76000000,80.10130000
87933.76000000,88072.59000000,87821.61000000,88022.79000000,128.63623000
88022.79000000,88155.65000000,87910.05000000,87943.12000000,116.04803000
87943.11000000,87975.75000000,87722.30000000,87835.49000000,78.47614000
87835.49000000,87976.78000000,87800.00000000,87800.00000000,41.67810000
87800.00000000,87800.00000000,87609.61000000,87625.89000000,37.35486000
87625.90000000,87677.95000000,87529.71000000,87604.00000000,49.67544000
87604.01000000,87790.06000000,87604.01000000,87766.42000000,59.35615000
87766.42000000,87791.95000000,87623.55000000,87623.56000000,57.67867000
87623.56000000,87741.52000000,87596.29000000,87741.51000000,30.34695000
87741.52000000,87830.00000000,87700.01000000,87723.42000000,37.85626000
87723.41000000,87723.41000000,87567.99000000,87646.63000000,39.15879000
87646.63000000,87716.69000000,87640.71000000,87646.28000000,22.24829000
87646.28000000,87646.28000000,87450.00000000,87476.88000000,74.41767000
87476.89000000,87612.80000000,87455.35000000,87509.99000000,69.21663000
87510.00000000,87640.66000000,87510.00000000,87608.50000000,56.01949000
87608.51000000,87645.05000000,87489.35000000,87518.58000000,35.94184000
87518.58000000,87518.59000000,87237.18000000,87239.29000000,72.33757000
87239.29000000,87340.10000000,86945.80000000,86945.81000000,98.87496000
86945.80000000,87136.33000000,86765.06000000,86797.36000000,138.84658000
86797.36000000,86963.41000000,86763.72000000,86949.89000000,53.97727000
86949.90000000,86949.90000000,86478.16000000,86478.16000000,119.56278000
86478.15000000,86513.57000000,86284.21000000,86380.22000000,149.27982000
86380.22000000,86392.02000000,86211.13000000,86296.82000000,79.08129000
86296.82000000,86416.01000000,86182.49000000,86404.55000000,93.90385000
86404.55000000,86404.55000000,86183.83000000,86285.79000000,54.24420000
86285.79000000,86630.58000000,86270.83000000,86630.58000000,115.29443000
86630.57000000,86693.70000000,86559.05000000,86649.96000000,48.25267000
86649.96000000,86899.94000000,86649.96000000,86877.45000000,36.41292000
86877.45000000,86910.00000000,86785.75000000,86882.85000000,38.61856000
86882.84000000,86945.80000000,86768.00000000,86781.12000000,60.67155000
86781.12000000,86985.03000000,86706.28000000,86912.02000000,56.91814000
86912.01000000,87114.76000000,86818.69000000,87103.74000000,68.47082000
87103.74000000,87136.32000000,87020.00000000,87057.13000000,25.04629000
87057.14000000,87143.99000000,86902.20000000,86902.21000000,30.50276000
86902.21000000,87108.74000000,86894.56000000,87054.00000000,25.92755000
87054.01000000,87350.00000000,87054.01000000,87217.83000000,88.56388000
87217.83000000,87269.40000000,87119.52000000,87182.00000000,39.42414000
87182.00000000,87211.52000000,87108.30000000,87186.96000000,28.82950000
87186.97000000,87377.34000000,87136.32000000,87347.60000000,48.20639000
87347.60000000,87463.00000000,87288.00000000,87321.17000000,55.06561000
87321.17000000,87460.01000000,87317.26000000,87382.70000000,190.41429000
87387.48000000,87449.73000000,87260.80000000,87337.36000000,67.47834000
87337.37000000,87359.10000000,87107.26000000,87119.00000000,178.48920000
87119.00000000,87232.54000000,87104.78000000,87176.49000000,84.78386000
87176.50000000,87394.72000000,87176.50000000,87272.21000000,54.84514000
87272.21000000,87367.92000000,87219.38000000,87316.66000000,35.82876000
87316.66000000,87379.70000000,87287.62000000,87295.74000000,12.28499000
87295.74000000,87352.00000000,87057.72000000,87067.56000000,49.83610000
